  KIC = 6106282; CANDIDATE = 1
  PERIOD = 101.11130493; BKJD0 = 215.51879278

      BKJD        PHASE         VALUE         UNCERTAINTY         MODEL

  131.51207037   0.169166   3.98001541e-04   3.99949754e-04   0.00000000e+00
  131.53250489   0.169368  -6.01323935e-04   3.99970040e-04   0.00000000e+00
  131.55293930   0.169570   5.67447542e-04   4.00098635e-04   0.00000000e+00
  131.57337362   0.169772   9.62872628e-05   4.00166968e-04   0.00000000e+00
  131.59380803   0.169974  -6.14087561e-04   4.00294751e-04   0.00000000e+00
  131.61424254   0.170176  -3.45109569e-04   4.00057549e-04   0.00000000e+00
  131.63467686   0.170378   4.59806084e-04   4.00127426e-04   0.00000000e+00
  131.65511127   0.170581   2.06218424e-04   4.00325220e-04   0.00000000e+00
  131.67554578   0.170783   7.50326429e-04   4.00307995e-04   0.00000000e+00
  131.69598020   0.170985   5.87971139e-04   4.00354281e-04   0.00000000e+00
  131.71641451   0.171187   2.10753683e-04   4.00199009e-04   0.00000000e+00
  131.73684892   0.171389   2.00071334e-05   4.00221516e-04   0.00000000e+00
  131.75728343   0.171591  -1.85393357e-04   4.00438079e-04   0.00000000e+00
  131.77771775   0.171793   3.03099379e-04   4.00122226e-04   0.00000000e+00
  131.79815216   0.171995  -1.92332831e-04   4.00468468e-04   0.00000000e+00
  131.81858667   0.172197   3.82619138e-04   4.00396424e-04   0.00000000e+00
  131.83902098   0.172399   4.11931476e-04   4.00469714e-04   0.00000000e+00
  131.85945540   0.172602  -2.22731085e-04   4.00236899e-04   0.00000000e+00
  131.87988981   0.172804  -5.58605510e-04   4.00461345e-04   0.00000000e+00
  131.90032422   0.173006   9.24316125e-04   4.00291040e-04   0.00000000e+00
  131.92075863   0.173208  -7.02313389e-04   4.00413623e-04   0.00000000e+00
  131.94119304   0.173410  -7.89052201e-05   4.00488212e-04   0.00000000e+00
  131.96162745   0.173612  -4.23218881e-05   4.00477324e-04   0.00000000e+00
  131.98206187   0.173814   7.34293705e-04   4.00393282e-04   0.00000000e+00
  132.00249628   0.174016   1.32085096e-03   4.00299111e-04   0.00000000e+00
  132.02293059   0.174218   4.62822383e-04   4.00527321e-04   0.00000000e+00
  132.04336510   0.174420  -2.86019458e-04   4.00410345e-04   0.00000000e+00
  132.06379951   0.174623  -4.59416397e-04   4.00373024e-04   0.00000000e+00
  132.08423382   0.174825  -2.13385268e-04   4.00546714e-04   0.00000000e+00
  132.10466823   0.175027  -4.59022201e-04   4.00507415e-04   0.00000000e+00
  132.12510274   0.175229  -1.97816828e-04   4.00580921e-04   0.00000000e+00
  132.14553705   0.175431   1.47241228e-04   4.00503433e-04   0.00000000e+00
  132.16597146   0.175633   3.96554060e-04   4.00441086e-04   0.00000000e+00
  132.18640597   0.175835   3.15821973e-04   4.00549991e-04   0.00000000e+00
  132.20684038   0.176037  -2.33620083e-05   4.00534174e-04   0.00000000e+00
  132.22727469   0.176239   7.17065031e-04   4.00548555e-04   0.00000000e+00
  132.24770910   0.176441  -4.26546917e-04   4.00638853e-04   0.00000000e+00
