  KIC = 11757451; CANDIDATE = 1
  PERIOD = 177.66871897; BKJD0 = 264.22758679

      BKJD        PHASE         VALUE         UNCERTAINTY         MODEL

  131.51141093   0.253013   3.25507965e-03   9.74275411e-04   0.00000000e+00
  131.53184527   0.253128  -5.37686804e-04   9.74914281e-04   0.00000000e+00
  131.55227950   0.253243  -7.71315789e-04   9.74945470e-04   0.00000000e+00
  131.57271364   0.253358   2.28742448e-03   9.73685367e-04   0.00000000e+00
  131.59314788   0.253473  -1.38262437e-04   9.75036078e-04   0.00000000e+00
  131.61358221   0.253588   8.84720135e-04   9.74453786e-04   0.00000000e+00
  131.63401635   0.253703  -1.75234393e-03   9.74857526e-04   0.00000000e+00
  131.65445059   0.253818   2.34469250e-04   9.74740286e-04   0.00000000e+00
  131.67488493   0.253933   5.57120831e-04   9.74730521e-04   0.00000000e+00
  131.69531916   0.254048  -4.63703466e-05   9.74228184e-04   0.00000000e+00
  131.71575330   0.254163  -8.19708429e-05   9.73871317e-04   0.00000000e+00
  131.73618754   0.254278  -1.12830898e-03   9.74571854e-04   0.00000000e+00
  131.75662187   0.254393  -1.56632871e-03   9.74821602e-04   0.00000000e+00
  131.77705601   0.254508   3.78410445e-04   9.73555995e-04   0.00000000e+00
  131.79749025   0.254623   8.97536765e-04   9.74131481e-04   0.00000000e+00
  131.81792458   0.254738  -5.92366037e-04   9.73848058e-04   0.00000000e+00
  131.83835872   0.254853  -2.74193915e-04   9.73487876e-04   0.00000000e+00
  131.85879295   0.254968  -5.25436013e-04   9.73340572e-04   0.00000000e+00
  131.87922719   0.255084   6.79120546e-04   9.73733245e-04   0.00000000e+00
  131.89966143   0.255199  -1.09958512e-03   9.73277011e-04   0.00000000e+00
  131.92009566   0.255314   4.23037206e-04   9.73714484e-04   0.00000000e+00
  131.94052990   0.255429  -1.57762539e-03   9.74149886e-04   0.00000000e+00
  131.96096414   0.255544  -1.51447477e-04   9.74186224e-04   0.00000000e+00
  131.98139837   0.255659   7.73266726e-04   9.74008974e-04   0.00000000e+00
  132.00183261   0.255774   5.74373332e-05   9.74518472e-04   0.00000000e+00
  132.02226674   0.255889  -6.97818512e-04   9.74038328e-04   0.00000000e+00
  132.04270108   0.256004   7.05064885e-04   9.73540726e-04   0.00000000e+00
  132.06313532   0.256119  -2.95754114e-04   9.74411826e-04   0.00000000e+00
  132.08356945   0.256234   9.48353236e-04   9.74103606e-04   0.00000000e+00
  132.10400369   0.256349   1.03046543e-04   9.74814914e-04   0.00000000e+00
  132.12443802   0.256464   1.16675158e-03   9.74271269e-04   0.00000000e+00
  132.14487216   0.256579   6.43319340e-04   9.74467753e-04   0.00000000e+00
  132.16530639   0.256694   1.93499455e-04   9.74200960e-04   0.00000000e+00
  132.18574073   0.256809   6.15851487e-04   9.74339328e-04   0.00000000e+00
  132.20617497   0.256924  -3.52212285e-04   9.74114614e-04   0.00000000e+00
  132.22660910   0.257039  -1.76311112e-03   9.74048212e-04   0.00000000e+00
  132.24704334   0.257154  -1.28983300e-03   9.74858177e-04   0.00000000e+00
  132.26747767   0.257269  -5.84396801e-04   9.74190071e-04   0.00000000e+00
  132.28791181   0.257384   5.20280105e-04   9.74417685e-04   0.00000000e+00
  132.30834604   0.257499  -5.59158541e-04   9.74212915e-04   0.00000000e+00
  132.32878038   0.257614   1.81718867e-03   9.74350750e-04   0.00000000e+00
  132.34921451   0.257729  -2.96643239e-04   9.74709866e-04   0.00000000e+00
  132.36964875   0.257844   7.24402506e-04   9.74798876e-04   0.00000000e+00
  132.39008298   0.257959  -1.52442528e-03   9.74556881e-04   0.00000000e+00
  132.41051722   0.258074  -1.26166210e-03   9.74089402e-04   0.00000000e+00
  132.43095145   0.258189   8.55996306e-04   9.73739932e-04   0.00000000e+00
  132.45138569   0.258304  -4.33293311e-04   9.74287129e-04   0.00000000e+00
  132.47182002   0.258419  -2.23910316e-03   9.74255940e-04   0.00000000e+00
  132.49225416   0.258534  -2.71066761e-03   9.73871257e-04   0.00000000e+00
  132.51268839   0.258649  -1.98655019e-03   9.74013294e-04   0.00000000e+00
  132.53312253   0.258764   1.41536341e-03   9.74300741e-04   0.00000000e+00
  132.55355686   0.258879   9.41067859e-05   9.74041110e-04   0.00000000e+00
  132.57399110   0.258994  -8.93440743e-04   9.74064250e-04   0.00000000e+00
  132.59442523   0.259109   7.45941056e-06   9.74676606e-04   0.00000000e+00
  132.61485957   0.259224  -2.83354555e-04   9.74201907e-04   0.00000000e+00
  132.63529380   0.259339   9.08342686e-04   9.74917418e-04   0.00000000e+00
  132.65572804   0.259454   1.47527092e-03   9.74528829e-04   0.00000000e+00
  132.67616217   0.259569  -1.11377692e-03   9.74491544e-04   0.00000000e+00
  132.69659650   0.259684   6.93901672e-04   9.74301570e-04   0.00000000e+00
  132.71703074   0.259799   1.81902798e-03   9.74318555e-04   0.00000000e+00
  132.73746487   0.259914  -1.54226058e-03   9.74370102e-04   0.00000000e+00
  132.75789921   0.260029  -1.89688839e-03   9.74496279e-04   0.00000000e+00
  132.77833344   0.260144  -1.90089706e-03   9.74643523e-04   0.00000000e+00
  132.79876757   0.260259   5.85210566e-04   9.74381229e-04   0.00000000e+00
  132.81920181   0.260374   1.64516643e-03   9.74483495e-04   0.00000000e+00
  132.83963614   0.260489   1.83387480e-03   9.74461598e-04   0.00000000e+00
  132.86007028   0.260604  -9.90160345e-05   9.74197528e-04   0.00000000e+00
  132.88050451   0.260719   7.49140426e-05   9.74320567e-04   0.00000000e+00
  132.90093884   0.260834   2.47729122e-05   9.73906471e-04   0.00000000e+00
  132.92137298   0.260949  -7.82799810e-04   9.74742890e-04   0.00000000e+00
  132.94180721   0.261064  -1.39337618e-03   9.74542204e-04   0.00000000e+00
  132.96224145   0.261179   1.17039761e-04   9.74695959e-04   0.00000000e+00
  132.98267578   0.261294  -4.07824915e-04   9.74916944e-04   0.00000000e+00
  133.00310991   0.261409  -1.72529774e-07   9.75054010e-04   0.00000000e+00
  133.02354415   0.261524   2.88163254e-04   9.75090407e-04   0.00000000e+00
  133.04397838   0.261639  -3.53838280e-04   9.74187704e-04   0.00000000e+00
  133.06441261   0.261754   2.30233537e-04   9.74909902e-04   0.00000000e+00
  133.08484685   0.261869   7.20211222e-04   9.75157046e-04   0.00000000e+00
  133.10528108   0.261984  -7.40893060e-04   9.75279493e-04   0.00000000e+00
  133.12571531   0.262099   6.20017949e-04   9.75054010e-04   0.00000000e+00
  133.14614955   0.262214   8.74396731e-04   9.75152311e-04   0.00000000e+00
  133.16658378   0.262329  -1.28819756e-03   9.75090880e-04   0.00000000e+00
  133.18701801   0.262444  -4.39124296e-04   9.75577830e-04   0.00000000e+00
  133.20745235   0.262559  -1.24755899e-03   9.75118518e-04   0.00000000e+00
  133.22788648   0.262674  -2.44302681e-03   9.75249961e-04   0.00000000e+00
  133.24832071   0.262789   1.72529774e-07   9.75517997e-04   0.00000000e+00
  133.26875494   0.262904  -1.07155869e-03   9.75057797e-04   0.00000000e+00
  133.28918918   0.263019   8.96338067e-04   9.74963994e-04   0.00000000e+00
  133.30962341   0.263134   3.32929568e-04   9.75217530e-04   0.00000000e+00
  133.33005754   0.263249  -6.78381266e-04   9.75708326e-04   0.00000000e+00
  133.35049188   0.263364   6.02805120e-04   9.75344416e-04   0.00000000e+00
  133.37092611   0.263479  -6.50630834e-04   9.75841367e-04   0.00000000e+00
  133.39136034   0.263594  -1.70268641e-03   9.75775379e-04   0.00000000e+00
  133.41179457   0.263709  -3.75796210e-04   9.75600023e-04   0.00000000e+00
  133.43222881   0.263825   1.17691227e-03   9.75684476e-04   0.00000000e+00
  133.45266304   0.263940   6.82991734e-04   9.75757625e-04   0.00000000e+00
  133.47309717   0.264055  -1.69110219e-03   9.75716020e-04   0.00000000e+00
  133.49353150   0.264170   1.52894696e-04   9.75632691e-04   0.00000000e+00
  133.51396573   0.264285   9.45445434e-05   9.75515748e-04   0.00000000e+00
  133.53439987   0.264400   4.19830328e-04   9.75356667e-04   0.00000000e+00
  133.55483420   0.264515   9.25939359e-04   9.75641569e-04   0.00000000e+00
  133.57526843   0.264630   5.64996644e-04   9.75849830e-04   0.00000000e+00
  133.59570256   0.264745  -1.71091457e-04   9.75429993e-04   0.00000000e+00
  133.61613679   0.264860   1.49314721e-03   9.75976953e-04   0.00000000e+00
  133.63657113   0.264975  -2.50297245e-04   9.75298668e-04   0.00000000e+00
  133.65700536   0.265090   1.34216803e-03   9.75777865e-04   0.00000000e+00
  133.67743949   0.265205   8.68924567e-04   9.75759814e-04   0.00000000e+00
  133.69787382   0.265320  -9.37622377e-04   9.75925287e-04   0.00000000e+00
  133.71830805   0.265435   1.49501270e-03   9.75627543e-04   0.00000000e+00
  133.73874219   0.265550   1.33065517e-04   9.75683706e-04   0.00000000e+00
  133.75917642   0.265665  -4.26348814e-04   9.76110113e-04   0.00000000e+00
  133.77961075   0.265780  -4.68108326e-04   9.75782659e-04   0.00000000e+00
  133.80004488   0.265895   7.92910961e-06   9.75970325e-04   0.00000000e+00
  133.82047911   0.266010   8.47244219e-04   9.76004177e-04   0.00000000e+00
  133.84091334   0.266125   5.16888179e-05   9.76080699e-04   0.00000000e+00
  133.86134757   0.266240   5.04132457e-04   9.75867526e-04   0.00000000e+00
  133.88178180   0.266355  -1.80420150e-03   9.75750996e-04   0.00000000e+00
  133.90221604   0.266470   1.33273090e-04   9.76069987e-04   0.00000000e+00
  133.92265027   0.266585  -2.36733017e-03   9.75931501e-04   0.00000000e+00
  133.94308450   0.266700  -4.20052862e-04   9.75886701e-04   0.00000000e+00
  133.96351873   0.266815   1.60611952e-03   9.75904929e-04   0.00000000e+00
  133.98395286   0.266930  -1.11994327e-03   9.76085138e-04   0.00000000e+00
  134.00438719   0.267045   2.56649753e-05   9.76031046e-04   0.00000000e+00
  134.02482142   0.267160  -6.10478546e-04   9.75938899e-04   0.00000000e+00
  134.04525555   0.267275  -4.24289181e-04   9.75784316e-04   0.00000000e+00
  134.06568988   0.267390   1.52824621e-03   9.76023174e-04   0.00000000e+00
  134.08612411   0.267505   1.10088271e-04   9.75801301e-04   0.00000000e+00
  134.10655824   0.267620   1.53983437e-04   9.75866815e-04   0.00000000e+00
  134.12699248   0.267735  -4.66781584e-05   9.75878238e-04   0.00000000e+00
  134.14742681   0.267850  -3.21786023e-04   9.76025897e-04   0.00000000e+00
  134.16786104   0.267965  -2.51157337e-04   9.75823021e-04   0.00000000e+00
  134.18829517   0.268080  -5.12976965e-04   9.76048327e-04   0.00000000e+00
  134.20872950   0.268195   8.43348418e-04   9.75995832e-04   0.00000000e+00
  134.22916373   0.268310  -7.28644512e-04   9.75946119e-04   0.00000000e+00
  134.24959786   0.268425  -6.50060132e-04   9.75990032e-04   0.00000000e+00
  134.27003209   0.268540  -1.77839492e-03   9.76196163e-04   0.00000000e+00
  134.29046642   0.268655  -1.04706012e-03   9.75813848e-04   0.00000000e+00
  134.31090055   0.268770   6.46181117e-04   9.75761176e-04   0.00000000e+00
  134.33133478   0.268885  -7.63999404e-04   9.75958903e-04   0.00000000e+00
  134.35176911   0.269000   3.97983746e-04   9.75990565e-04   0.00000000e+00
  134.37220324   0.269115  -1.05176810e-03   9.76098691e-04   0.00000000e+00
  134.41307170   0.269345   7.60374622e-04   9.75812664e-04   0.00000000e+00
  134.43350593   0.269460   2.48474594e-03   9.75830892e-04   0.00000000e+00
  134.45394016   0.269575  -6.36270542e-04   9.75682996e-04   0.00000000e+00
  134.47437439   0.269690   7.39106195e-05   9.76063892e-04   0.00000000e+00
  134.49480872   0.269805   1.22931247e-03   9.75984765e-04   0.00000000e+00
  134.51524284   0.269920   8.62594202e-04   9.75701047e-04   0.00000000e+00
  134.53567707   0.270035  -5.94270049e-04   9.75908776e-04   0.00000000e+00
  134.55611120   0.270150   1.55654317e-03   9.75020809e-04   0.00000000e+00
  134.57654553   0.270265  -1.61374537e-03   9.75586589e-04   0.00000000e+00
  134.59697976   0.270380   1.72658562e-03   9.75529419e-04   0.00000000e+00
  134.61741389   0.270495   1.42510913e-03   9.75200840e-04   0.00000000e+00
  134.63784812   0.270610   6.76237426e-04   9.75458164e-04   0.00000000e+00
  134.65828245   0.270725  -7.56438981e-04   9.75510421e-04   0.00000000e+00
  134.67871668   0.270840   4.59316200e-04   9.75381109e-04   0.00000000e+00
  134.69915091   0.270955  -1.09977806e-03   9.75507817e-04   0.00000000e+00
  134.71958514   0.271070   3.14583825e-03   9.75155329e-04   0.00000000e+00
  134.74001936   0.271185   4.14598571e-04   9.75914043e-04   0.00000000e+00
  134.76045349   0.271300  -1.04512921e-03   9.75626951e-04   0.00000000e+00
  134.78088772   0.271415   5.44404495e-04   9.75794613e-04   0.00000000e+00
  134.80132205   0.271530   9.00948250e-04   9.75719393e-04   0.00000000e+00
  134.82175628   0.271645  -4.02118427e-05   9.75951327e-04   0.00000000e+00
  134.84219041   0.271760  -6.28339150e-04   9.75893921e-04   0.00000000e+00
  134.86262474   0.271875  -4.23714888e-04   9.75807870e-04   0.00000000e+00
  134.88305896   0.271990   4.89724896e-04   9.75888121e-04   0.00000000e+00
  134.90349319   0.272105   3.00120854e-04   9.75983759e-04   0.00000000e+00
  134.92392732   0.272220   3.35627427e-04   9.75673054e-04   0.00000000e+00
  134.94436165   0.272335  -4.34171567e-04   9.75876936e-04   0.00000000e+00
  134.96479588   0.272450  -1.30210856e-03   9.75944048e-04   0.00000000e+00
  134.98523001   0.272565   7.87206824e-04   9.75713712e-04   0.00000000e+00
  135.00566433   0.272681   6.85180678e-04   9.75915759e-04   0.00000000e+00
  135.02609856   0.272796   1.38114298e-03   9.76089340e-04   0.00000000e+00
  135.04653269   0.272911  -2.02112827e-04   9.75965117e-04   0.00000000e+00
  135.06696692   0.273026  -1.45612585e-03   9.76032762e-04   0.00000000e+00
  135.08740125   0.273141  -1.11256061e-04   9.75772539e-04   0.00000000e+00
  135.10783537   0.273256  -1.82053376e-03   9.75659797e-04   0.00000000e+00
  135.12826960   0.273371  -3.42601701e-04   9.75402355e-04   0.00000000e+00
  135.14870393   0.273486  -1.03595143e-03   9.75560194e-04   0.00000000e+00
  135.16913816   0.273601  -1.17174911e-03   9.75827696e-04   0.00000000e+00
  135.18957228   0.273716   2.11039265e-04   9.75707320e-04   0.00000000e+00
  135.21000651   0.273831  -9.59823311e-04   9.75810001e-04   0.00000000e+00
  135.23044084   0.273946   2.67757839e-03   9.75880546e-04   0.00000000e+00
  135.25087497   0.274061   5.63725567e-05   9.75862022e-04   0.00000000e+00
  135.27130919   0.274176   9.86114098e-04   9.75839592e-04   0.00000000e+00
  135.29174332   0.274291   4.69593134e-04   9.75845924e-04   0.00000000e+00
  135.31217765   0.274406  -1.96643400e-03   9.75663407e-04   0.00000000e+00
  135.33261187   0.274521  -7.21687363e-04   9.75785618e-04   0.00000000e+00
  135.35304600   0.274636  -1.44238361e-03   9.75701639e-04   0.00000000e+00
  135.37348033   0.274751   4.29124911e-04   9.75586234e-04   0.00000000e+00
  135.39391456   0.274866  -1.74565656e-04   9.75806509e-04   0.00000000e+00
  135.41434878   0.274981  -1.34549519e-03   9.75726081e-04   0.00000000e+00
  135.43478291   0.275096  -1.29551468e-03   9.75719985e-04   0.00000000e+00
  135.45521724   0.275211  -5.14306033e-04   9.75724364e-04   0.00000000e+00
  135.47565146   0.275326   8.47306210e-04   9.75801952e-04   0.00000000e+00
  135.49608559   0.275441   9.63889644e-04   9.75592862e-04   0.00000000e+00
  135.51651992   0.275556  -1.51424788e-03   9.75933810e-04   0.00000000e+00
  135.53695414   0.275671   1.60227539e-03   9.75311984e-04   0.00000000e+00
  135.55738827   0.275786   4.99544612e-06   9.75901141e-04   0.00000000e+00
