  KIC = 8463346; CANDIDATE = 2
  PERIOD = 64.00113940; BKJD0 = 132.61461166

      BKJD        PHASE         VALUE         UNCERTAINTY         MODEL

  131.51084452  -0.017246   3.52503485e-04   9.54859174e-04   0.00000000e+00
  131.53127914  -0.016927   6.08386544e-04   9.55347444e-04   0.00000000e+00
  131.55171366  -0.016607   4.46110453e-04   9.54710068e-04   0.00000000e+00
  131.57214809  -0.016288  -1.67926162e-05   9.54391772e-04   0.00000000e+00
  131.59258261  -0.015969   9.40802595e-04   9.54881276e-04   0.00000000e+00
  131.61301723  -0.015650   1.58967622e-05   9.54896983e-04   0.00000000e+00
  131.63345165  -0.015330   9.12680049e-04   9.54663058e-04   0.00000000e+00
  131.65388617  -0.015011   1.23300329e-03   9.54739126e-04   0.00000000e+00
  131.67432079  -0.014692   1.00260378e-03   9.55566223e-04   0.00000000e+00
  131.69475531  -0.014372  -2.27753851e-03   9.55088499e-04   0.00000000e+00
  131.71518973  -0.014053  -1.89365302e-03   9.55171972e-04   0.00000000e+00
  131.73562425  -0.013734   4.01117029e-05   9.55147177e-04   0.00000000e+00
  131.75605887  -0.013415  -9.31905425e-04   9.55566447e-04   0.00000000e+00
  131.77649330  -0.013095  -6.46655685e-04   9.54744848e-04   0.00000000e+00
  131.79692782  -0.012776   6.51383723e-04   9.55160640e-04   0.00000000e+00
  131.81736244  -0.012457   1.62648098e-04   9.54640619e-04   0.00000000e+00
  131.83779686  -0.012138   1.10995063e-03   9.54997846e-04   0.00000000e+00
  131.85823138  -0.011818   6.63281468e-04   9.55157274e-04   0.00000000e+00
  131.87866590  -0.011499  -7.43267881e-05   9.54847281e-04   0.00000000e+00
  131.89910042  -0.011180   2.21660591e-04   9.55278781e-04   0.00000000e+00
  131.91953494  -0.010860  -9.52946743e-04   9.54822150e-04   0.00000000e+00
  131.93996946  -0.010541   4.92750576e-04   9.55218869e-04   0.00000000e+00
  131.96040399  -0.010222  -6.09217676e-04   9.54546488e-04   0.00000000e+00
  131.98083851  -0.009903   1.72896588e-03   9.54986066e-04   0.00000000e+00
  132.00127303  -0.009583  -1.43924201e-03   9.54394353e-04   0.00000000e+00
  132.02170745  -0.009264  -3.98770481e-04   9.54499254e-04   0.00000000e+00
  132.04214207  -0.008945   1.34271639e-04   9.55225040e-04   0.00000000e+00
  132.06257659  -0.008625  -3.11345170e-04   9.55263971e-04   0.00000000e+00
  132.08301101  -0.008306  -2.75825438e-04   9.55433048e-04   0.00000000e+00
  132.10344553  -0.007987   1.71945790e-03   9.55233903e-04   0.00000000e+00
  132.12388015  -0.007668   4.06627008e-03   9.54973388e-04   0.00000000e+00
  132.14431458  -0.007348  -9.54038233e-04   9.55590569e-04   0.00000000e+00
  132.16474910  -0.007029   1.25776454e-03   9.55415546e-04   0.00000000e+00
  132.18518372  -0.006710  -4.91227871e-04   9.55018602e-04   0.00000000e+00
  132.20561824  -0.006390   8.50283507e-04   9.55418912e-04   0.00000000e+00
  132.22605266  -0.006071   3.46351194e-04   9.55158396e-04   0.00000000e+00
  132.24648718  -0.005752  -3.29464035e-04   9.55484321e-04   0.00000000e+00
  132.26692180  -0.005433   1.98912529e-03   9.55807328e-04   0.00000000e+00
  132.28735622  -0.005113  -4.59013697e-04   9.55546589e-04   0.00000000e+00
  132.30779075  -0.004794   5.85633618e-04   9.55193850e-04   0.00000000e+00
  132.32822537  -0.004475  -2.70805481e-04   9.55973152e-04   0.00000000e+00
  132.34865979  -0.004155  -1.58681066e-03   9.56158160e-04   0.00000000e+00
  132.36909431  -0.003836   7.44772517e-05   9.56274506e-04   0.00000000e+00
  132.38952883  -0.003517  -9.66265898e-04   9.56152214e-04   0.00000000e+00
  132.40996335  -0.003198  -1.47715211e-03   9.55203611e-04   0.00000000e+00
  132.43039787  -0.002878   9.62719051e-04   9.55991103e-04   0.00000000e+00
  132.45083240  -0.002559  -2.40937007e-04   9.55952508e-04   0.00000000e+00
  132.47126702  -0.002240   1.44296569e-03   9.56146155e-04   0.00000000e+00
  132.49170144  -0.001920   6.44416438e-04   9.55900001e-04   0.00000000e+00
  132.51213596  -0.001601  -1.21305665e-03   9.55742144e-04  -6.07653157e-05
  132.53257038  -0.001282  -1.00360662e-03   9.55459750e-04  -7.43735431e-04
  132.55300500  -0.000963  -1.98955022e-03   9.56109356e-04  -9.67710058e-04
  132.57343952  -0.000643  -3.43640533e-03   9.56017132e-04  -1.08109672e-03
  132.59387394  -0.000324  -7.50768947e-04   9.55749661e-04  -1.13996605e-03
  132.61430857  -0.000005   1.99153329e-03   9.56595382e-04  -1.15873015e-03
  132.63474309   0.000315  -7.15541513e-04   9.56815956e-04  -1.14106334e-03
  132.65517761   0.000634  -1.31852783e-03   9.56635323e-04  -1.08351555e-03
  132.67561203   0.000953  -6.67285520e-04   9.56394554e-04  -9.72152640e-04
  132.69604665   0.001272  -2.67137889e-03   9.55704895e-04  -7.54160311e-04
  132.71648117   0.001592   1.94952872e-03   9.55835040e-04  -7.70980050e-05
  132.73691559   0.001911   9.15459844e-05   9.56108009e-04   0.00000000e+00
  132.75735022   0.002230   1.20845578e-03   9.56195745e-04   0.00000000e+00
  132.77778474   0.002550  -1.35851240e-04   9.55890352e-04   0.00000000e+00
  132.79821916   0.002869  -2.90862161e-05   9.55748426e-04   0.00000000e+00
  132.81865368   0.003188   1.26201623e-03   9.56096005e-04   0.00000000e+00
  132.83908830   0.003507   3.41070889e-04   9.56015112e-04   0.00000000e+00
  132.85952272   0.003827   2.42745284e-04   9.55628715e-04   0.00000000e+00
  132.87995724   0.004146   1.57904241e-03   9.56102624e-04   0.00000000e+00
  132.90039187   0.004465  -6.27194649e-06   9.55532228e-04   0.00000000e+00
  132.92082629   0.004785   1.08257620e-04   9.55720939e-04   0.00000000e+00
  132.94126081   0.005104   8.30253964e-04   9.55814621e-04   0.00000000e+00
  132.96169533   0.005423  -8.97844563e-04   9.56172633e-04   0.00000000e+00
  132.98212995   0.005742  -1.24518427e-04   9.55648461e-04   0.00000000e+00
  133.00256437   0.006062   2.45763105e-03   9.55317039e-04   0.00000000e+00
  133.02299890   0.006381  -1.11155596e-03   9.56234677e-04   0.00000000e+00
  133.04343342   0.006700   4.52510359e-03   9.56219082e-04   0.00000000e+00
  133.06386794   0.007020   1.58567973e-03   9.56375032e-04   0.00000000e+00
  133.08430246   0.007339  -9.01818968e-04   9.56853990e-04   0.00000000e+00
  133.10473698   0.007658  -2.58631737e-04   9.56713186e-04   0.00000000e+00
