EPO  6.7041880000E+01  0.0000000000E+00 -1.0000000000E+00  0.0000000000E+00
PER  1.6797020000E+01  0.0000000000E+00 -1.0000000000E+00  0.0000000000E+00
BBB  2.1261196412E-01  0.0000000000E+00 -1.0000000000E+00  0.0000000000E+00
RDR  3.1324748515E-02  0.0000000000E+00 -1.0000000000E+00  0.0000000000E+00
ZDR  1.7278710459E+01  0.0000000000E+00 -1.0000000000E+00  0.0000000000E+00
ZPT  0.0000000000E+00  0.0000000000E+00 -1.0000000000E+00  0.0000000000E+00
ECW  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
ESW  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
KRV  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
VOF  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
NL1  6.6900000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
NL2 -7.6120000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
NL3  1.5019000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
NL4 -5.7590000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
TED  0.0000000000E+00  0.0000000000E+00 -1.0000000000E+00  0.0000000000E+00
ELL  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
ALB  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
DIL  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
