  KIC = 4172805; CANDIDATE = 1
  PERIOD = 147.66219717; BKJD0 = 243.95428985

      BKJD        PHASE         VALUE         UNCERTAINTY         MODEL

  131.51153723   0.238514   1.04168905e-04   6.27060842e-04   0.00000000e+00
  131.53197192   0.238652   1.67353369e-04   6.27313170e-04   0.00000000e+00
  131.55240652   0.238790  -4.53532647e-04   6.27103638e-04   0.00000000e+00
  131.57284101   0.238929  -4.31220390e-05   6.27005596e-04   0.00000000e+00
  131.59327561   0.239067  -8.25363005e-04   6.27549870e-04   0.00000000e+00
  131.61371031   0.239206   1.60139150e-04   6.26921820e-04   0.00000000e+00
  131.63414480   0.239344  -7.28654008e-04   6.27292226e-04   0.00000000e+00
  131.65457940   0.239482  -1.36763117e-03   6.27402943e-04   0.00000000e+00
  131.67501409   0.239621  -8.29230366e-05   6.27105319e-04   0.00000000e+00
  131.69544869   0.239759   6.34484662e-04   6.27210494e-04   0.00000000e+00
  131.71588318   0.239897  -4.95141333e-04   6.27128081e-04   0.00000000e+00
  131.73631778   0.240036   4.32343385e-04   6.27313079e-04   0.00000000e+00
  131.75675247   0.240174  -6.62501501e-04   6.26912507e-04   0.00000000e+00
  131.77718697   0.240313  -1.29166789e-03   6.27192276e-04   0.00000000e+00
  131.79762156   0.240451   2.13503034e-04   6.27129262e-04   0.00000000e+00
  131.81805626   0.240589   9.01176459e-04   6.27266739e-04   0.00000000e+00
  131.83849075   0.240728  -9.94505751e-05   6.27312579e-04   0.00000000e+00
  131.85892535   0.240866   6.01772262e-05   6.27217491e-04   0.00000000e+00
  131.87935994   0.241005  -8.38305655e-04   6.27448239e-04   0.00000000e+00
  131.89979454   0.241143  -1.73558432e-04   6.27222579e-04   0.00000000e+00
  131.92022913   0.241281   3.08998244e-04   6.27442560e-04   0.00000000e+00
  131.94066373   0.241420   6.67703145e-04   6.27502530e-04   0.00000000e+00
  131.96109832   0.241558  -4.85387659e-04   6.27273326e-04   0.00000000e+00
  131.98153292   0.241697  -1.62152212e-04   6.27219898e-04   0.00000000e+00
  132.00196751   0.241835   1.09747254e-03   6.27455690e-04   0.00000000e+00
  132.02240201   0.241973  -4.06611542e-04   6.27361373e-04   0.00000000e+00
  132.04283670   0.242112  -3.85994380e-04   6.27476770e-04   0.00000000e+00
  132.06327129   0.242250   8.15819603e-04   6.27502121e-04   0.00000000e+00
  132.08370579   0.242388  -8.83781263e-04   6.27582354e-04   0.00000000e+00
  132.10414038   0.242527   9.74254595e-04   6.27502076e-04   0.00000000e+00
  132.12457508   0.242665  -7.71292089e-04   6.27414574e-04   0.00000000e+00
  132.14500957   0.242804  -5.10216155e-04   6.27344518e-04   0.00000000e+00
  132.16544416   0.242942  -7.43028353e-05   6.27296815e-04   0.00000000e+00
  132.18587886   0.243080   6.16913795e-04   6.27432247e-04   0.00000000e+00
  132.20631345   0.243219  -4.21272061e-04   6.27301676e-04   0.00000000e+00
  132.22674795   0.243357   3.31051185e-04   6.27475089e-04   0.00000000e+00
  132.24718254   0.243496  -8.87129354e-04   6.27653500e-04   0.00000000e+00
  132.26761723   0.243634   1.40747159e-03   6.27377093e-04   0.00000000e+00
  132.28805173   0.243772  -3.31593604e-04   6.27495670e-04   0.00000000e+00
