SMA  4.9185400000e-01  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00
PMA  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00
SRA  4.6671819812e-01  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00 
PRA  1.5418248244e-01  0.0000000000e+00 -1.0000000000e+00  0.0000000000e+00  0.0000000000e+00 
PER  1.3343095000e+01  0.0000000000e+00 -1.0000000000e+00  0.0000000000e+00  0.0000000000e+00 
INC  8.9240000000e+01  0.0000000000e+00 -1.0000000000e+00  0.0000000000e+00  0.0000000000e+00 
EPO  1.0990070000e+02  0.0000000000e+00 -1.0000000000e+00  0.0000000000e+00  0.0000000000e+00 
ZPT  0.0000000000e+00  0.0000000000e+00 -1.0000000000e+00  0.0000000000e+00  0.0000000000e+00 
ALB  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00 
NL1  6.1310000000e-01  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00 
NL2  1.9880000000e-01  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00 
NL3  2.6000000000e-03  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00 
NL4  2.2700000000e-02  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00 
ECW  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00 
ESW  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00 
TED  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00 
VOF  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00 
DIL  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00 
OFF  2.9023330413e-01  3.5382503226e+00 
