  KIC = 8183288; CANDIDATE = 1
  PERIOD = 66.65059701; BKJD0 = 171.17884007

      BKJD        PHASE         VALUE         UNCERTAINTY         MODEL

  131.51115057   0.404841   5.60764662e-05   2.14178048e-04   0.00000000e+00
  131.53158516   0.405148   3.23858078e-04   2.13976045e-04   0.00000000e+00
  131.55201965   0.405454  -4.97244067e-05   2.14058569e-04   0.00000000e+00
  131.57245405   0.405761   3.10023570e-04   2.14067254e-04   0.00000000e+00
  131.59288854   0.406068   3.51404883e-05   2.14331366e-04   0.00000000e+00
  131.61332313   0.406374  -4.59545580e-04   2.14372509e-04   0.00000000e+00
  131.63375753   0.406681  -2.69721695e-04   2.14306094e-04   0.00000000e+00
  131.65419202   0.406987  -3.56420269e-04   2.14362324e-04   0.00000000e+00
  131.67462661   0.407294  -1.92335354e-04   2.14367726e-04   0.00000000e+00
  131.69506111   0.407601   2.65278293e-05   2.14157750e-04   0.00000000e+00
  131.71549550   0.407907   2.65376257e-04   2.14373413e-04   0.00000000e+00
  131.73592999   0.408214   1.48863123e-04   2.14420362e-04   0.00000000e+00
  131.75636458   0.408520  -2.19887384e-04   2.14364727e-04   0.00000000e+00
  131.77679898   0.408827  -2.19451655e-05   2.14373794e-04   0.00000000e+00
  131.79723347   0.409133   5.58345162e-05   2.14479471e-04   0.00000000e+00
  131.81766806   0.409440  -4.28823043e-05   2.14383669e-04   0.00000000e+00
  131.83810245   0.409747  -3.48210749e-04   2.14218002e-04   0.00000000e+00
  131.85853695   0.410053   1.19406425e-04   2.14339266e-04   0.00000000e+00
  131.87897144   0.410360   8.15794836e-05   2.14494748e-04   0.00000000e+00
  131.89940593   0.410666   9.91423909e-05   2.14274374e-04   0.00000000e+00
  131.91984043   0.410973   1.01530436e-04   2.14448489e-04   0.00000000e+00
  131.94027492   0.411280  -6.44741453e-05   2.14498913e-04   0.00000000e+00
  131.96070941   0.411586  -2.18845617e-04   2.14489347e-04   0.00000000e+00
  131.98114390   0.411893  -3.25713688e-04   2.14292792e-04   0.00000000e+00
  132.00157840   0.412199  -4.48138287e-04   2.14469001e-04   0.00000000e+00
  132.02201279   0.412506  -2.38940529e-04   2.14503029e-04   0.00000000e+00
  132.04244738   0.412813   1.15035792e-04   2.14416603e-04   0.00000000e+00
  132.06288187   0.413119  -2.74384467e-05   2.14581366e-04   0.00000000e+00
  132.08331626   0.413426   4.49312505e-05   2.14366988e-04   0.00000000e+00
  132.10375076   0.413732   6.53639404e-04   2.14451392e-04   0.00000000e+00
  132.12418535   0.414039   7.72813912e-05   2.14535987e-04   0.00000000e+00
  132.14461974   0.414346   2.16292559e-04   2.14419387e-04   0.00000000e+00
  132.16505423   0.414652  -2.70487139e-04   2.14417864e-04   0.00000000e+00
  132.18548883   0.414959   1.66620930e-04   2.14383978e-04   0.00000000e+00
  132.20592332   0.415265  -1.14326179e-04   2.14472428e-04   0.00000000e+00
  132.22635771   0.415572   1.86748053e-04   2.14485991e-04   0.00000000e+00
  132.24679220   0.415878   2.51498940e-05   2.14455319e-04   0.00000000e+00
  132.26722680   0.416185   5.91435389e-06   2.14587743e-04   0.00000000e+00
  132.28766119   0.416492  -2.61807340e-04   2.14491060e-04   0.00000000e+00
  132.30809568   0.416798  -4.17473584e-04   2.14538462e-04   0.00000000e+00
