  KIC = 8142787; CANDIDATE = 1
  PERIOD = 178.14250428; BKJD0 = 210.11720779

      BKJD        PHASE         VALUE         UNCERTAINTY         MODEL

  131.51220761  -0.441248   6.66587818e-04   3.40602145e-04   0.00000000e+00
  131.53264199  -0.441133  -2.90227167e-04   3.40654354e-04   0.00000000e+00
  131.55307627  -0.441018  -3.81994586e-05   3.40611200e-04   0.00000000e+00
  131.57351046  -0.440904   4.33036838e-06   3.40378400e-04   0.00000000e+00
  131.59394474  -0.440789   3.39559845e-04   3.40754090e-04   0.00000000e+00
  131.61437912  -0.440674  -3.83416712e-04   3.40695751e-04   0.00000000e+00
  131.63481331  -0.440560  -5.67483727e-04   3.40654107e-04   0.00000000e+00
  131.65524759  -0.440445  -2.33269085e-04   3.40778331e-04   0.00000000e+00
  131.67568197  -0.440330   2.66282208e-04   3.40747067e-04   0.00000000e+00
  131.69611625  -0.440215  -2.06517639e-04   3.40748053e-04   0.00000000e+00
  131.71655043  -0.440101   2.11401582e-04   3.40683277e-04   0.00000000e+00
  131.73698472  -0.439986  -6.17185655e-04   3.40791268e-04   0.00000000e+00
  131.75741910  -0.439871   1.19922257e-05   3.40657988e-04   0.00000000e+00
  131.77785328  -0.439757  -3.19763154e-04   3.40581384e-04   0.00000000e+00
  131.79828756  -0.439642  -3.47842582e-04   3.40637782e-04   0.00000000e+00
  131.81872194  -0.439527  -5.36341934e-04   3.40611478e-04   0.00000000e+00
  131.83915612  -0.439413  -1.73252222e-04   3.40794348e-04   0.00000000e+00
  131.85959040  -0.439298  -6.21527835e-04   3.40713894e-04   0.00000000e+00
  131.88002468  -0.439183   3.49860009e-04   3.40802141e-04   0.00000000e+00
  131.90045897  -0.439068   1.94182881e-05   3.40768721e-04   0.00000000e+00
  131.92089325  -0.438954   8.33647442e-05   3.40834052e-04   0.00000000e+00
  131.94132753  -0.438839  -1.11958559e-04   3.40824935e-04   0.00000000e+00
  131.96176181  -0.438724  -1.36391969e-07   3.40766442e-04   0.00000000e+00
  131.98219609  -0.438610  -4.02180506e-05   3.40770107e-04   0.00000000e+00
  132.00263037  -0.438495  -6.83493718e-04   3.40740599e-04   0.00000000e+00
  132.02306455  -0.438380  -5.61692102e-05   3.40676223e-04   0.00000000e+00
  132.04349893  -0.438265  -6.54975607e-04   3.40895810e-04   0.00000000e+00
  132.06393321  -0.438151   2.29026749e-04   3.40805714e-04   0.00000000e+00
