  KIC = 11497958; CANDIDATE = 4
  PERIOD = 63.33857560; BKJD0 = 162.58648592

      BKJD        PHASE         VALUE         UNCERTAINTY         MODEL

  131.51154992  -0.490616   1.46045027e-04   6.82269062e-04   0.00000000e+00
  131.53198424  -0.490294   3.09400692e-04   6.82722966e-04   0.00000000e+00
  131.55241847  -0.489971   7.85822928e-04   6.82372915e-04   0.00000000e+00
  131.57285260  -0.489648  -1.49781728e-03   6.81908922e-04   0.00000000e+00
  131.59328682  -0.489326  -1.16553427e-03   6.82761348e-04   0.00000000e+00
  131.61372115  -0.489003   3.93646564e-05   6.81972144e-04   0.00000000e+00
  131.63415527  -0.488681   3.81413695e-05   6.82797867e-04   0.00000000e+00
  131.65458950  -0.488358   6.16871720e-04   6.83150550e-04   0.00000000e+00
  131.67502383  -0.488035  -1.13260757e-03   6.82704158e-04   0.00000000e+00
  131.69545805  -0.487713  -7.67048384e-04   6.82758881e-04   0.00000000e+00
  131.71589218  -0.487390  -4.61314044e-04   6.83177856e-04   0.00000000e+00
  131.73632641  -0.487067   1.40794568e-04   6.83522917e-04   0.00000000e+00
  131.75676073  -0.486745   2.03444102e-04   6.82043097e-04   0.00000000e+00
  131.77719486  -0.486422  -1.07305141e-03   6.82797264e-04   0.00000000e+00
  131.79762908  -0.486100  -6.25146666e-05   6.82933523e-04   0.00000000e+00
  131.81806341  -0.485777  -3.28849631e-04   6.82486473e-04   0.00000000e+00
  131.83849754  -0.485454  -4.84680109e-04   6.83003653e-04   0.00000000e+00
  131.85893176  -0.485132   6.12934104e-04   6.82533684e-04   0.00000000e+00
  131.87936599  -0.484809   1.26286215e-03   6.82367541e-04   0.00000000e+00
  131.89980021  -0.484487   9.92795849e-07   6.82273668e-04   0.00000000e+00
  131.92023444  -0.484164  -9.67559508e-04   6.82584788e-04   0.00000000e+00
  131.94066866  -0.483841   8.51092214e-04   6.83221338e-04   0.00000000e+00
  131.96110289  -0.483519  -1.47543664e-04   6.83120830e-04   0.00000000e+00
  131.98153711  -0.483196  -1.44243903e-03   6.82994222e-04   0.00000000e+00
  132.00197134  -0.482873   5.12853425e-04   6.83087766e-04   0.00000000e+00
  132.02240546  -0.482551  -4.51429727e-04   6.82534835e-04   0.00000000e+00
  132.04283979  -0.482228   7.27081125e-04   6.83773831e-04   0.00000000e+00
  132.06327401  -0.481906  -2.64271518e-04   6.82851877e-04   0.00000000e+00
  132.08370814  -0.481583  -7.67959925e-05   6.83566454e-04   0.00000000e+00
  132.10414236  -0.481260   2.17517455e-04   6.83077239e-04   0.00000000e+00
  132.12457669  -0.480938   2.42919530e-04   6.83313951e-04   0.00000000e+00
  132.14501081  -0.480615  -4.29280986e-04   6.83185423e-04   0.00000000e+00
  132.16544504  -0.480292  -2.24746632e-04   6.83221996e-04   0.00000000e+00
  132.18587936  -0.479970  -1.31945036e-04   6.83141173e-04   0.00000000e+00
  132.20631359  -0.479647   4.97354710e-04   6.82972837e-04   0.00000000e+00
  132.22674771  -0.479325  -3.59184636e-04   6.83403986e-04   0.00000000e+00
  132.24718194  -0.479002   9.97048308e-04   6.83506906e-04   0.00000000e+00
  132.26761626  -0.478679   1.07595726e-04   6.83529388e-04   0.00000000e+00
  132.28805039  -0.478357   2.41191792e-03   6.83368180e-04   0.00000000e+00
  132.30848461  -0.478034   2.45279937e-04   6.83442423e-04   0.00000000e+00
  132.32891893  -0.477712  -9.51549609e-04   6.83596283e-04   0.00000000e+00
  132.34935306  -0.477389  -1.71493430e-04   6.83794612e-04   0.00000000e+00
  132.36978728  -0.477066  -9.14289837e-04   6.83343231e-04   0.00000000e+00
  132.39022151  -0.476744   6.09337248e-06   6.83265753e-04   0.00000000e+00
  132.41065573  -0.476421  -5.40680288e-04   6.83462327e-04   0.00000000e+00
  132.43108995  -0.476098   5.58877267e-04   6.82732123e-04   0.00000000e+00
  132.45152418  -0.475776   7.57194391e-04   6.83014181e-04   0.00000000e+00
  132.47195850  -0.475453   6.11094331e-04   6.83542054e-04   0.00000000e+00
