  KIC = 11284772; CANDIDATE = 1
  PERIOD = 207.24579103; BKJD0 = 213.02889528

      BKJD        PHASE         VALUE         UNCERTAINTY         MODEL

  131.51168416  -0.393336   2.73601765e-04   4.71786960e-04   0.00000000e+00
  131.53211848  -0.393237   5.31395705e-04   4.71604406e-04   0.00000000e+00
  131.55255269  -0.393139   2.12909617e-04   4.71989840e-04   0.00000000e+00
  131.57298680  -0.393040  -1.99865085e-04   4.71179205e-04   0.00000000e+00
  131.59342101  -0.392942   4.45355533e-04   4.71541920e-04   0.00000000e+00
  131.61385533  -0.392843  -2.08770953e-04   4.71770652e-04   0.00000000e+00
  131.63428944  -0.392744   7.50444323e-05   4.70951833e-04   0.00000000e+00
  131.65472365  -0.392646   7.92111887e-04   4.72412146e-04   0.00000000e+00
  131.67515796  -0.392547  -1.43841054e-04   4.71728994e-04   0.00000000e+00
  131.69559218  -0.392449   6.68501352e-04   4.72216179e-04   0.00000000e+00
  131.71602629  -0.392350   1.40816535e-04   4.71638914e-04   0.00000000e+00
  131.73646050  -0.392251  -1.05539663e-03   4.71336499e-04   0.00000000e+00
  131.75689481  -0.392153  -2.28383400e-04   4.71918136e-04   0.00000000e+00
  131.77732892  -0.392054  -1.43058182e-04   4.71534002e-04   0.00000000e+00
  131.79776314  -0.391956   7.55013962e-05   4.71601481e-04   0.00000000e+00
  131.81819745  -0.391857   1.10236439e-03   4.71498874e-04   0.00000000e+00
  131.83863156  -0.391758  -7.49160293e-05   4.71324770e-04   0.00000000e+00
  131.85906577  -0.391660  -3.22946880e-04   4.71368229e-04   0.00000000e+00
  131.87949998  -0.391561   7.52287795e-04   4.71737001e-04   0.00000000e+00
  131.89993419  -0.391463   1.26361049e-04   4.71256020e-04   0.00000000e+00
  131.92036841  -0.391364  -8.72336820e-05   4.71999265e-04   0.00000000e+00
  131.94080262  -0.391265   4.40961900e-05   4.72014303e-04   0.00000000e+00
  131.96123683  -0.391167  -9.08395315e-04   4.71785010e-04   0.00000000e+00
  131.98167104  -0.391068  -5.14280881e-04   4.71793726e-04   0.00000000e+00
  132.00210525  -0.390970  -5.09680056e-04   4.71988038e-04   0.00000000e+00
  132.02253936  -0.390871  -2.95580042e-04   4.72163029e-04   0.00000000e+00
  132.04297367  -0.390772  -5.03733313e-04   4.71759720e-04   0.00000000e+00
  132.06340788  -0.390674  -1.23379375e-04   4.71631735e-04   0.00000000e+00
