  KIC = 6497146; CANDIDATE = 1
  PERIOD = 35.23334543; BKJD0 = 135.35925051

      BKJD        PHASE         VALUE         UNCERTAINTY         MODEL

  131.51228952  -0.109185  -6.64036218e-05   3.53901752e-04   0.00000000e+00
  131.53272397  -0.108605  -1.35010351e-05   3.53835936e-04   0.00000000e+00
  131.55315831  -0.108025  -4.04656181e-04   3.53867483e-04   0.00000000e+00
  131.57359256  -0.107445   8.89577603e-04   3.53654275e-04   0.00000000e+00
  131.59402690  -0.106865  -1.03016411e-03   3.53676378e-04   0.00000000e+00
  131.61446135  -0.106285   6.98607341e-04   3.53898826e-04   0.00000000e+00
  131.63489560  -0.105705  -4.28468398e-05   3.54100591e-04   0.00000000e+00
  131.65532994  -0.105125  -4.16365251e-07   3.54009051e-04   0.00000000e+00
  131.67576439  -0.104545   3.59258171e-04   3.53920118e-04   0.00000000e+00
  131.69619873  -0.103965   3.23259769e-04   3.54009428e-04   0.00000000e+00
  131.71663297  -0.103386   2.58624933e-04   3.54115249e-04   0.00000000e+00
  131.73706732  -0.102806  -2.88595330e-04   3.53700914e-04   0.00000000e+00
  131.75750176  -0.102226  -8.46720985e-04   3.54310409e-04   0.00000000e+00
  131.77793601  -0.101646   4.52628055e-05   3.54046073e-04   0.00000000e+00
  131.79837035  -0.101066   3.97667748e-04   3.53880229e-04   0.00000000e+00
  131.81880480  -0.100486  -1.27811468e-04   3.53857083e-04   0.00000000e+00
  131.83923904  -0.099906  -4.01035161e-04   3.54145260e-04   0.00000000e+00
  131.85967338  -0.099326  -1.71104240e-05   3.54063656e-04   0.00000000e+00
  131.88010773  -0.098746   2.59669722e-04   3.54306875e-04   0.00000000e+00
  131.90054207  -0.098166   2.08283908e-04   3.54361509e-04   0.00000000e+00
  131.92097641  -0.097586  -6.12141196e-04   3.54011919e-04   0.00000000e+00
  131.94141076  -0.097006  -2.08587091e-04   3.54210845e-04   0.00000000e+00
  131.96184510  -0.096426  -3.62340209e-05   3.53928867e-04   0.00000000e+00
  131.98227944  -0.095846   2.02203411e-04   3.54260873e-04   0.00000000e+00
  132.00271378  -0.095266   6.00294070e-04   3.53964063e-04   0.00000000e+00
  132.02314803  -0.094686  -8.75350265e-04   3.53798567e-04   0.00000000e+00
  132.04358247  -0.094106   2.11124101e-04   3.54283903e-04   0.00000000e+00
  132.06401681  -0.093526  -1.99637328e-04   3.54164524e-04   0.00000000e+00
  132.08445105  -0.092946   2.38194230e-04   3.54138192e-04   0.00000000e+00
  132.10488539  -0.092366   7.09271412e-05   3.53893728e-04   0.00000000e+00
  132.12531984  -0.091786   4.33627745e-04   3.54298880e-04   0.00000000e+00
  132.14575408  -0.091206  -5.18425410e-04   3.54152155e-04   0.00000000e+00
  132.16618842  -0.090626  -1.42499846e-04   3.54108992e-04   0.00000000e+00
  132.18662286  -0.090046   9.95498474e-06   3.53957429e-04   0.00000000e+00
  132.20705720  -0.089466   4.78116820e-04   3.53953808e-04   0.00000000e+00
  132.22749144  -0.088886  -1.26204369e-04   3.54232977e-04   0.00000000e+00
  132.24792578  -0.088306   6.80988614e-05   3.54321417e-04   0.00000000e+00
  132.26836022  -0.087726   5.34651633e-04   3.54012006e-04   0.00000000e+00
  132.28879446  -0.087146  -1.55527463e-04   3.54163424e-04   0.00000000e+00
  132.30922880  -0.086566   8.65143325e-05   3.54027504e-04   0.00000000e+00
  132.32966324  -0.085986   1.14699961e-05   3.54322894e-04   0.00000000e+00
  132.35009748  -0.085406   1.41201224e-06   3.53902650e-04   0.00000000e+00
  132.37053182  -0.084826   1.76807409e-04   3.54229066e-04   0.00000000e+00
  132.39096616  -0.084246   2.87332262e-04   3.53925072e-04   0.00000000e+00
  132.41140050  -0.083666   6.92223015e-06   3.54338393e-04   0.00000000e+00
  132.43183484  -0.083087  -1.52564725e-05   3.54267014e-04   0.00000000e+00
  132.45226918  -0.082507  -7.58699268e-04   3.54099432e-04   0.00000000e+00
  132.47270362  -0.081927  -4.21128054e-04   3.54094044e-04   0.00000000e+00
  132.49313786  -0.081347  -3.49597097e-04   3.54329876e-04   0.00000000e+00
  132.51357220  -0.080767  -2.15935213e-04   3.54195926e-04   0.00000000e+00
  132.53400644  -0.080187  -3.72047281e-04   3.54160469e-04   0.00000000e+00
  132.55444087  -0.079607   4.39488008e-04   3.54024288e-04   0.00000000e+00
  132.57487521  -0.079027  -2.18728872e-04   3.54138134e-04   0.00000000e+00
  132.59530945  -0.078447  -4.78346252e-04   3.54138511e-04   0.00000000e+00
  132.61574389  -0.077867  -4.46526324e-04   3.53967308e-04   0.00000000e+00
  132.63617823  -0.077287  -4.83181423e-04   3.53809575e-04   0.00000000e+00
  132.65661256  -0.076707   3.10377714e-04   3.54389551e-04   0.00000000e+00
  132.67704680  -0.076127   5.11043107e-04   3.54079966e-04   0.00000000e+00
  132.69748124  -0.075547  -1.01686659e-03   3.54285120e-04   0.00000000e+00
  132.71791558  -0.074967   6.34531617e-04   3.53992945e-04   0.00000000e+00
  132.73834981  -0.074387  -6.61892731e-04   3.54017017e-04   0.00000000e+00
  132.75878425  -0.073807   6.87033087e-04   3.54193406e-04   0.00000000e+00
  132.77921859  -0.073227  -7.85537250e-04   3.54111483e-04   0.00000000e+00
  132.79965282  -0.072647   3.31499420e-04   3.54017799e-04   0.00000000e+00
  132.82008716  -0.072067   1.06861142e-04   3.54185468e-04   0.00000000e+00
  132.84052160  -0.071487   5.99229864e-04   3.53985876e-04   0.00000000e+00
